project_id,state,district,work_category,project_description,sanctioned_amount_inr,implementing_agency,sanction_date,expected_completion_date,actual_completion_date,fraud_label,fraud_type
MPLAD-50580F,West Bengal,Tamluk,Solar Street Light,Electrification via 10 solar street lights across Tamluk Zone 28,65500.22,Contractor_3,2025-05-21,2025-09-05,2025-09-11,0,None
MPLAD-A68F58,Assam,Silchar,Solar Street Light,Electrification via 25 solar street lights across Silchar Ward 29,66873.9,Contractor_38,2025-04-30,2025-08-01,2025-08-08,0,None
MPLAD-4141AF,Uttar Pradesh,Agra,Drinking Water Plant,Installation of clean drinking water filtration unit in Agra Sector 25,530943.05,Contractor_7,2025-01-04,2025-05-17,2025-05-08,0,None
MPLAD-FCD81B,Tamil Nadu,Chennai,Drinking Water Plant,Boring and installation of RO drinking water plant in Chennai Block 24,534749.44,Contractor_37,2025-11-06,2026-04-03,2026-03-31,0,None
MPLAD-5BCEDF,West Bengal,Howrah,Community Hall,Construction of community hall in Howrah Block 30,1581828.73,Contractor_41,2025-01-24,2025-05-04,,0,None
MPLAD-AB5B0B,West Bengal,Howrah,Drinking Water Plant,Boring and installation of RO drinking water plant in Howrah Ward 35,466265.41,Contractor_47,2025-07-01,2025-12-27,,0,None
MPLAD-A0F028,Tamil Nadu,Coimbatore,Community Hall,Construction of community hall in Coimbatore Sector 21,1365361.0,Contractor_26,2025-07-14,2026-01-07,2026-01-16,0,None
MPLAD-6904F2,Karnataka,Bengaluru Urban,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Bengaluru Urban Block 9,456618.86,Contractor_16,2025-10-18,2026-04-09,2026-04-14,0,None
MPLAD-66D11C,Rajasthan,Udaipur,Road Repair,Bituminous macadam road repair and pothole filling in Udaipur Sector 4,807795.46,Contractor_8,2025-10-27,2026-03-17,2026-03-06,0,None
MPLAD-58E9AB,Rajasthan,Udaipur,Community Hall,Renovation and expansion of community hall in Udaipur Block 1,1550978.42,Contractor_44,2025-12-15,2026-03-23,2026-03-27,0,None
MPLAD-31109B,Tamil Nadu,Madurai,Solar Street Light,Setup of 10 high-mast solar illumination units in Madurai Block 33,78634.21,Contractor_49,2025-10-02,2026-01-14,2026-01-04,0,None
MPLAD-19C5FF,Tamil Nadu,Coimbatore,Community Hall,Building multipurpose cultural community hall in Coimbatore Zone 1,1503072.67,Contractor_39,2025-02-24,2025-06-13,2025-06-03,0,None
MPLAD-88B0ED,Karnataka,Mysuru,Drinking Water Plant,Boring and installation of RO drinking water plant in Mysuru Gram Panchayat 5,498860.57,Contractor_49,2025-02-27,2025-06-27,2025-06-30,0,None
MPLAD-D4A956,Jammu And Kashmir,Jammu,Road Repair,Paver block fixing and road repair work in Jammu Zone 13,853166.89,Contractor_46,2025-03-07,2025-06-26,2025-06-30,0,None
MPLAD-1A69FB,Karnataka,Mysuru,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Mysuru Block 2,489899.23,Contractor_38,2025-12-10,2026-05-15,2026-05-07,0,None
MPLAD-493AB9,Maharashtra,Pune,Road Repair,Repair of internal road in Pune Block 5,746022.95,Contractor_33,2025-04-23,2025-10-20,2025-10-12,0,None
MPLAD-C2B8F2,West Bengal,Tamluk,Community Hall,Renovation and expansion of community hall in Tamluk Gram Panchayat 13,6535163.46,Contractor_7,2025-09-06,2026-02-16,2026-02-08,1,Cost Inflation
MPLAD-51EE08,Rajasthan,Jodhpur,Solar Street Light,Installation of 40 solar street lights in Jodhpur Sector 4,78179.65,Contractor_26,2025-07-01,2025-11-27,,0,None
MPLAD-9B9C0B,West Bengal,Tamluk,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Tamluk Block 30,530059.25,Contractor_16,2025-02-25,2025-06-19,2025-06-08,0,None
MPLAD-BE9C4F,Bihar,Patna,Solar Street Light,Installation of 10 solar street lights in Patna Ward 11,73862.61,Contractor_27,2025-10-09,2026-03-31,,0,None
MPLAD-AA6D44,Maharashtra,Nagpur,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Nagpur Gram Panchayat 19,298881.51,Contractor_28,2025-07-25,2025-12-10,2025-12-07,0,None
MPLAD-9788EF,Uttar Pradesh,Varanasi,Road Repair,Bituminous macadam road repair and pothole filling in Varanasi Zone 4,832374.26,Contractor_48,2025-09-07,2025-12-18,2026-04-24,1,Delayed Completion
MPLAD-34EB7B,Jammu And Kashmir,Jammu,Drinking Water Plant,Boring and installation of RO drinking water plant in Jammu Ward 5,455716.53,Contractor_39,2025-10-27,2026-04-02,2026-04-03,0,None
MPLAD-BA49A5,Rajasthan,Jaipur,Solar Street Light,Installation of 30 solar street lights in Jaipur Sector 27,78504.25,Contractor_43,2025-05-01,2025-10-10,2025-10-14,0,None
MPLAD-35C05A,Tamil Nadu,Coimbatore,Road Repair,Concreting and repair of internal village road at Coimbatore Ward 20,813045.38,Contractor_30,2025-06-11,2025-12-03,2025-11-25,0,None
MPLAD-A716FC,Maharashtra,Hingoli,Drinking Water Plant,Boring and installation of RO drinking water plant in Hingoli Zone 14,542901.83,Contractor_33,2025-02-07,2025-07-26,,0,None
MPLAD-C4BD06,Bihar,Gaya,Drinking Water Plant,Borewell drilling and installation of community water purification unit in Gaya Block 34,463245.66,Contractor_1,2025-06-28,2025-11-12,2025-11-11,0,None
MPLAD-F60DCC,Bihar,Gaya,Road Repair,Bituminous macadam road repair and pothole filling in Gaya Block 19,759875.75,Contractor_39,2025-12-06,2026-04-08,2026-03-27,0,None
MPLAD-D853A3,Tamil Nadu,Trichy,Community Hall,Construction of community hall in Trichy Gram Panchayat 18,1587044.87,Contractor_3,2025-04-15,2025-08-15,,0,None
MPLAD-5E8D03,Tamil Nadu,Coimbatore,Solar Street Light,Electrification via 10 solar street lights across Coimbatore Sector 5,71671.13,Contractor_45,2025-03-08,2025-08-05,,1,Delayed Completion
MPLAD-E2FC77,Assam,Guwahati,Community Hall,Development and construction of public community center in Guwahati Sector 23,1518236.12,Contractor_14,2025-07-09,2025-12-01,2025-11-25,0,None
MPLAD-77D290,Assam,Dibrugarh,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Dibrugarh Ward 27,1566773.36,Contractor_2,2025-07-01,2025-12-17,2025-12-09,0,None
MPLAD-B292C1,Rajasthan,Udaipur,Community Hall,Construction of community hall in Udaipur Sector 31,1594625.79,Contractor_15,2025-06-20,2025-10-19,2025-10-29,0,None
MPLAD-C64AEE,Karnataka,Mysuru,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Mysuru Block 18,1626634.64,Contractor_5,2025-08-24,2025-12-21,2025-12-27,0,None
MPLAD-C59CE9,Rajasthan,Udaipur,Drinking Water Plant,Boring and installation of RO drinking water plant in Udaipur Ward 17,485114.61,Contractor_3,2025-09-18,2026-01-07,,1,Delayed Completion
MPLAD-AF1CFB,Karnataka,Mysuru,Solar Street Light,Installation of 25 solar street lights in Mysuru Zone 13,76931.43,Contractor_17,2025-06-26,2025-12-10,,0,None
MPLAD-79A141,Assam,Silchar,Solar Street Light,Supply and erection of 20 LED solar street lights at Silchar Gram Panchayat 5,79175.71,Contractor_43,2025-01-01,2025-06-27,2025-07-05,0,None
MPLAD-C36117,Bihar,Muzaffarpur,Drinking Water Plant,Installation of clean drinking water filtration unit in Muzaffarpur Block 9,512315.54,Contractor_13,2025-12-06,2026-05-09,2026-05-07,0,None
MPLAD-6B63EF,Uttar Pradesh,Kanpur,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Kanpur Ward 28,309895.77,Contractor_38,2025-07-14,2025-12-02,2025-11-17,0,None
MPLAD-BC8939,Jammu And Kashmir,Baramulla,Road Repair,Asphalt resurfacing and repair of main road in Baramulla Sector 19,830941.12,Contractor_33,2025-08-27,2026-02-19,2026-02-19,0,None
MPLAD-C43C04,Tamil Nadu,Coimbatore,Road Repair,Asphalt resurfacing and repair of main road in Coimbatore Zone 5,767037.65,Contractor_30,2025-05-01,2025-08-24,2025-08-10,0,None
MPLAD-2FAA90,West Bengal,Darjeeling,School Boundary Wall,Construction of protective compound boundary wall for ZP School in Darjeeling Sector 28,323168.21,Contractor_15,2025-10-22,2026-03-24,2026-03-13,0,None
MPLAD-5DA8FB,Assam,Dibrugarh,Community Hall,Renovation and expansion of community hall in Dibrugarh Gram Panchayat 34,1621643.94,Contractor_36,2025-12-23,2026-03-29,2026-03-17,0,None
MPLAD-D3546F,Assam,Dibrugarh,Road Repair,Paver block fixing and road repair work in Dibrugarh Block 16,763459.59,Contractor_41,2025-08-15,2026-01-22,2026-01-12,0,None
MPLAD-0304A7,Jammu And Kashmir,Jammu,Drinking Water Plant,Installation of clean drinking water filtration unit in Jammu Block 22,526581.37,Contractor_21,2025-09-24,2026-01-22,2026-01-09,0,None
MPLAD-FDE5C0,West Bengal,Darjeeling,Road Repair,Repair of internal road in Darjeeling Gram Panchayat 22,716115.53,Contractor_35,2025-03-19,2025-09-13,2025-09-04,0,None
MPLAD-F02AC3,Rajasthan,Jodhpur,School Boundary Wall,Construction of protective compound boundary wall for ZP School in Jodhpur Zone 25,294946.45,Contractor_31,2025-04-16,2025-09-27,,0,None
MPLAD-C438D8,Rajasthan,Jodhpur,Solar Street Light,Electrification via 15 solar street lights across Jodhpur Gram Panchayat 15,83854.83,Contractor_18,2025-06-02,2025-11-07,2025-11-09,0,None
MPLAD-77BB53,Karnataka,Belagavi,School Boundary Wall,"Erection of brick masonry boundary wall at Government High School, Belagavi Gram Panchayat 9",299138.52,Contractor_40,2025-07-19,2026-01-11,2026-01-19,0,None
MPLAD-126796,Maharashtra,Pune,Road Repair,Asphalt resurfacing and repair of main road in Pune Block 25,705393.29,Contractor_21,2025-07-21,2026-01-09,2026-01-08,0,None
MPLAD-50971F,Rajasthan,Jodhpur,Community Hall,Renovation and expansion of community hall in Jodhpur Zone 4,1481879.73,Contractor_23,2025-06-22,2025-11-12,2025-10-30,0,None
MPLAD-F3246D,Maharashtra,Thane,Community Hall,Building multipurpose cultural community hall in Thane Ward 9,1560057.64,Contractor_31,2025-11-30,2026-03-31,2026-03-16,0,None
MPLAD-EBD409,Jammu And Kashmir,Jammu,Solar Street Light,Electrification via 30 solar street lights across Jammu Sector 11,316065.3,Contractor_20,2025-04-22,2025-08-22,2025-08-12,1,Cost Inflation
MPLAD-950156,Rajasthan,Jodhpur,Solar Street Light,Supply and erection of 10 LED solar street lights at Jodhpur Block 8,76573.69,Contractor_37,2025-06-09,2025-10-02,2025-10-09,0,None
MPLAD-C439F5,Karnataka,Bengaluru Urban,Solar Street Light,Setup of 50 high-mast solar illumination units in Bengaluru Urban Gram Panchayat 7,71944.08,Contractor_28,2025-08-08,2026-01-09,2025-12-25,0,None
MPLAD-EAC1CC,Uttar Pradesh,Agra,Drinking Water Plant,Installation of clean drinking water filtration unit in Agra Zone 31,513558.51,Contractor_30,2025-08-24,2025-12-14,2025-12-19,0,None
MPLAD-281850,Tamil Nadu,Madurai,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Madurai Ward 30,319544.08,Contractor_37,2025-10-31,2026-03-01,2026-02-16,0,None
MPLAD-79F524,Maharashtra,Hingoli,Road Repair,Concreting and repair of internal village road at Hingoli Block 22,833637.69,Contractor_18,2025-06-22,2025-10-31,2025-10-22,0,None
MPLAD-C6F608,Assam,Guwahati,Road Repair,Repair of internal road in Guwahati Gram Panchayat 32,840236.75,Contractor_36,2025-05-22,2025-10-25,,0,None
MPLAD-9660BF,Jammu And Kashmir,Baramulla,Community Hall,Renovation and expansion of community hall in Baramulla Ward 20,1576243.74,Contractor_43,2025-11-27,2026-02-27,2026-02-19,0,None
MPLAD-F96D61,Assam,Dibrugarh,Road Repair,Bituminous macadam road repair and pothole filling in Dibrugarh Block 30,773804.09,Contractor_18,2025-10-11,2026-03-04,,0,None
MPLAD-413197,West Bengal,Howrah,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Howrah Ward 31,475140.37,Contractor_18,2025-03-03,2025-06-16,2025-06-25,0,None
MPLAD-93AE17,Tamil Nadu,Chennai,Road Repair,Asphalt resurfacing and repair of main road in Chennai Sector 35,3922726.07,Contractor_9,2025-09-26,2026-01-18,2026-01-14,1,Cost Inflation
MPLAD-A69086,Assam,Dibrugarh,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Dibrugarh Sector 19,454551.57,Contractor_31,2025-01-28,2025-07-26,,0,None
MPLAD-474444,Maharashtra,Palghar,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Palghar Sector 4,296428.13,Contractor_10,2025-04-05,2025-09-03,2025-08-21,0,None
MPLAD-568E01,Bihar,Gaya,Community Hall,Building multipurpose cultural community hall in Gaya Zone 15,1624456.83,Contractor_50,2025-06-05,2025-09-18,2025-09-16,0,None
MPLAD-44E7EE,Tamil Nadu,Trichy,Road Repair,Bituminous macadam road repair and pothole filling in Trichy Sector 14,776075.61,Contractor_41,2025-08-15,2025-12-22,2025-12-08,0,None
MPLAD-894D6C,Uttar Pradesh,Varanasi,Community Hall,Construction of community hall in Varanasi Gram Panchayat 31,1405858.45,Contractor_19,2025-02-11,2025-06-03,2025-05-24,0,None
MPLAD-EF8B41,Tamil Nadu,Trichy,Solar Street Light,Electrification via 40 solar street lights across Trichy Ward 28,69629.52,Contractor_8,2025-12-28,2026-04-06,2026-03-30,0,None
MPLAD-B40F08,Tamil Nadu,Coimbatore,Road Repair,Concreting and repair of internal village road at Coimbatore Zone 19,744961.89,Contractor_29,2025-03-18,2025-06-25,2025-07-05,0,None
MPLAD-44ADF8,Rajasthan,Jodhpur,Solar Street Light,Installation of 30 solar street lights in Jodhpur Sector 28,74373.96,Contractor_48,2025-06-05,2025-11-06,2025-11-05,0,None
MPLAD-648265,Bihar,Gaya,Drinking Water Plant,Borewell drilling and installation of community water purification unit in Gaya Block 3,510371.36,Contractor_49,2025-01-14,2025-07-09,2025-07-12,0,None
MPLAD-46C042,Jammu And Kashmir,Baramulla,Community Hall,Renovation and expansion of community hall in Baramulla Gram Panchayat 6,1488200.33,Contractor_31,2025-11-30,2026-03-23,,0,None
